[2025-10-23 18:03:30,551] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:03:30,587] INFO: Бот запущен. Используй /start или /test в Telegram.
[2025-10-23 18:08:36,425] INFO: Отфильтрован ACTUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,426] INFO: Отфильтрован ACXUSDT: объем 159487.2108 < 10000000.0
[2025-10-23 18:08:36,426] INFO: Отфильтрован ADAUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,426] INFO: Отфильтрован AERGOUSDT: объем 680212.9385 < 10000000.0
[2025-10-23 18:08:36,426] INFO: Отфильтрован AEROUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,426] INFO: Отфильтрован AEVOPERP: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,428] INFO: Отфильтрован AEVOUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,428] INFO: Отфильтрован AGIUSDT: объем 229178.3719 < 10000000.0
[2025-10-23 18:08:36,428] INFO: Отфильтрован AGLDUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,428] INFO: Отфильтрован AI16ZPERP: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,429] INFO: Отфильтрован AI16ZUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,429] INFO: Пропущен AIAUSDT: объем 238289283.2143
[2025-10-23 18:08:36,429] INFO: Отфильтрован AINUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,429] INFO: Отфильтрован AIOUSDT: объем 1968492.0447 < 10000000.0
[2025-10-23 18:08:36,430] INFO: Отфильтрован AIOZUSDT: объем 1944227.6146 < 10000000.0
[2025-10-23 18:08:36,430] INFO: Отфильтрован AIUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,430] INFO: Отфильтрован AIXBTUSDT: объем 5105882.4575 < 10000000.0
[2025-10-23 18:08:36,430] INFO: Отфильтрован AKEUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,430] INFO: Отфильтрован AKTUSDT: объем 947596.8898 < 10000000.0
[2025-10-23 18:08:36,431] INFO: Отфильтрован ALCHUSDT: объем 1696298.5915 < 10000000.0
[2025-10-23 18:08:36,431] INFO: Отфильтрован ALEOUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,431] INFO: Отфильтрован ALGOUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,431] INFO: Отфильтрован ALICEUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,431] INFO: Отфильтрован ALPINEUSDT: объем 887792.9929 < 10000000.0
[2025-10-23 18:08:36,431] INFO: Отфильтрован ALTUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,432] INFO: Отфильтрован ALUUSDT: объем 500373.0109 < 10000000.0
[2025-10-23 18:08:36,432] INFO: Отфильтрован ANIMEUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,432] INFO: Отфильтрован ANKRUSDT: объем 293573.5878 < 10000000.0
[2025-10-23 18:08:36,432] INFO: Отфильтрован APEUSDT: объем 8237112.8404 < 10000000.0
[2025-10-23 18:08:36,432] INFO: Пропущен APEXUSDT: объем 15822214.4281
[2025-10-23 18:08:36,432] INFO: Отфильтрован API3USDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,432] INFO: Отфильтрован APRUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,434] INFO: Отфильтрован APTUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,434] INFO: Отфильтрован ARBPERP: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,434] INFO: Отфильтрован ARBUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,435] INFO: Отфильтрован ARCUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,435] INFO: Отфильтрован ARIAUSDT: объем 3531116.711 < 10000000.0
[2025-10-23 18:08:36,435] INFO: Отфильтрован ARKMUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,435] INFO: Отфильтрован ARKUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,435] INFO: Отфильтрован ARPAUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,435] INFO: Отфильтрован ARUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,436] INFO: Отфильтрован ASPUSDT: объем 887364.6549 < 10000000.0
[2025-10-23 18:08:36,436] INFO: Отфильтрован ASRUSDT: объем 183309.664 < 10000000.0
[2025-10-23 18:08:36,436] INFO: Пропущен ASTERUSDT: объем 208709301.8226
[2025-10-23 18:08:36,436] INFO: Отфильтрован ASTRUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,436] INFO: Отфильтрован ATHUSDT: объем 8443197.4205 < 10000000.0
[2025-10-23 18:08:36,436] INFO: Отфильтрован ATOMUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,436] INFO: Пропущен AUCTIONUSDT: объем 23310440.4456
[2025-10-23 18:08:36,436] INFO: Отфильтрован AUDIOUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,437] INFO: Отфильтрован AUSDT: объем 1606975.5306 < 10000000.0
[2025-10-23 18:08:36,437] INFO: Отфильтрован AVAAIUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,437] INFO: Отфильтрован AVAILUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,438] INFO: Отфильтрован AVAUSDT: объем 228370.082 < 10000000.0
[2025-10-23 18:08:36,438] INFO: Отфильтрован AVAXUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,438] INFO: Отфильтрован AVLUSDT: объем 580684.9857 < 10000000.0
[2025-10-23 18:08:36,438] INFO: Отфильтрован AVNTUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,440] INFO: Отфильтрован AWEUSDT: объем 1173872.2797 < 10000000.0
[2025-10-23 18:08:36,440] INFO: Отфильтрован AXLUSDT: объем 1477836.5551 < 10000000.0
[2025-10-23 18:08:36,440] INFO: Отфильтрован AXSUSDT: объем 2074689.2774 < 10000000.0
[2025-10-23 18:08:36,440] INFO: Отфильтрован B2USDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,440] INFO: Отфильтрован B3USDT: объем 768715.9865 < 10000000.0
[2025-10-23 18:08:36,440] INFO: Отфильтрован BABYUSDT: объем 788332.3758 < 10000000.0
[2025-10-23 18:08:36,441] INFO: Отфильтрован BADGERUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,441] INFO: Отфильтрован BANANAS31USDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,441] INFO: Отфильтрован BANANAUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,441] INFO: Отфильтрован BANDUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,441] INFO: Отфильтрован BANKUSDT: объем 3396244.8639 < 10000000.0
[2025-10-23 18:08:36,442] INFO: Отфильтрован BANUSDT: объем 1054425.0263 < 10000000.0
[2025-10-23 18:08:36,442] INFO: Отфильтрован BARDUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,442] INFO: Отфильтрован BATUSDT: объем 2591650.6592 < 10000000.0
[2025-10-23 18:08:36,444] INFO: Отфильтрован BBUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,444] INFO: Отфильтрован BCHPERP: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,444] INFO: Отфильтрован BCHUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,444] INFO: Отфильтрован BEAMUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,445] INFO: Отфильтрован BELUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,445] INFO: Отфильтрован BERAUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,445] INFO: Отфильтрован BICOUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,445] INFO: Отфильтрован BIGTIMEUSDT: объем 1136766.5679 < 10000000.0
[2025-10-23 18:08:36,445] INFO: Отфильтрован BIOUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,446] INFO: Отфильтрован BLASTUSDT: объем 604151.4392 < 10000000.0
[2025-10-23 18:08:36,446] INFO: Пропущен BLESSUSDT: объем 35752788.3814
[2025-10-23 18:08:36,446] INFO: Отфильтрован BLURUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,446] INFO: Отфильтрован BMTUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,446] INFO: Отфильтрован BNBPERP: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,446] INFO: Пропущен BNBUSDT: объем 309093489.79
[2025-10-23 18:08:36,447] INFO: Отфильтрован BNTUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,447] INFO: Отфильтрован BOBAUSDT: объем 156081.2326 < 10000000.0
[2025-10-23 18:08:36,447] INFO: Отфильтрован BOMEUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,447] INFO: Отфильтрован BRETTUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,447] INFO: Отфильтрован BROCCOLIUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,447] INFO: Отфильтрован BRUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,447] INFO: Отфильтрован BSUUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,448] INFO: Отфильтрован BSVUSDT: объем 1041088.23 < 10000000.0
[2025-10-23 18:08:36,448] INFO: Отфильтрован BTC-26DEC25: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,448] INFO: Отфильтрован BTCPERP: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,448] INFO: Пропущен BTCUSDT: объем 9557157532.9055
[2025-10-23 18:08:36,448] INFO: Отфильтрован BTCUSDT-07NOV25: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,448] INFO: Отфильтрован BTCUSDT-24OCT25: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,449] INFO: Отфильтрован BTCUSDT-25SEP26: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,449] INFO: Отфильтрован BTCUSDT-26DEC25: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,449] INFO: Отфильтрован BTCUSDT-26JUN26: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,449] INFO: Отфильтрован BTCUSDT-27MAR26: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,449] INFO: Отфильтрован BTCUSDT-28NOV25: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,449] INFO: Отфильтрован BTCUSDT-31OCT25: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,450] INFO: Отфильтрован BTRUSDT: объем 2821792.1993 < 10000000.0
[2025-10-23 18:08:36,450] INFO: Отфильтрован BUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,450] INFO: Отфильтрован C98USDT: объем 2485701.7643 < 10000000.0
[2025-10-23 18:08:36,450] INFO: Пропущен CAKEUSDT: объем 20103520.0866
[2025-10-23 18:08:36,450] INFO: Отфильтрован CAMPUSDT: объем 1471931.8934 < 10000000.0
[2025-10-23 18:08:36,451] INFO: Отфильтрован CARVUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,451] INFO: Отфильтрован CATIUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,451] INFO: Отфильтрован CELOUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,451] INFO: Отфильтрован CELRUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,451] INFO: Отфильтрован CETUSUSDT: объем 1230964.391 < 10000000.0
[2025-10-23 18:08:36,452] INFO: Отфильтрован CFXUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,452] INFO: Отфильтрован CGPTUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,452] INFO: Отфильтрован CHESSUSDT: объем 134930.4298 < 10000000.0
[2025-10-23 18:08:36,453] INFO: Отфильтрован CHILLGUYUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,453] INFO: Отфильтрован CHRUSDT: объем 496835.7966 < 10000000.0
[2025-10-23 18:08:36,454] INFO: Отфильтрован CHZUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,455] INFO: Отфильтрован CKBUSDT: объем 414821.0692 < 10000000.0
[2025-10-23 18:08:36,457] INFO: Отфильтрован CLANKERUSDT: объем 233478.7407 < 10000000.0
[2025-10-23 18:08:36,457] INFO: Отфильтрован CLOUDUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,457] INFO: Пропущен CLOUSDT: объем 10215960.1476
[2025-10-23 18:08:36,457] INFO: Пропущен COAIUSDT: объем 374893530.9003
[2025-10-23 18:08:36,458] INFO: Отфильтрован COMPUSDT: объем 2121286.8405 < 10000000.0
[2025-10-23 18:08:36,458] INFO: Отфильтрован COOKIEUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,458] INFO: Отфильтрован COOKUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,458] INFO: Отфильтрован COREUSDT: объем 436361.1364 < 10000000.0
[2025-10-23 18:08:36,458] INFO: Отфильтрован COSUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,459] INFO: Отфильтрован COTIUSDT: объем 626501.3134 < 10000000.0
[2025-10-23 18:08:36,459] INFO: Отфильтрован COWUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,459] INFO: Отфильтрован CROSSUSDT: объем 383027.1869 < 10000000.0
[2025-10-23 18:08:36,459] INFO: Отфильтрован CROUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,459] INFO: Отфильтрован CRVPERP: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,460] INFO: Отфильтрован CRVUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,460] INFO: Отфильтрован CTCUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,460] INFO: Отфильтрован CTKUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,460] INFO: Отфильтрован CTSIUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,460] INFO: Отфильтрован CUDISUSDT: объем 2496149.7028 < 10000000.0
[2025-10-23 18:08:36,460] INFO: Отфильтрован CUSDT: объем 2010371.4318 < 10000000.0
[2025-10-23 18:08:36,461] INFO: Отфильтрован CVCUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,461] INFO: Отфильтрован CVXUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,461] INFO: Отфильтрован CYBERUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,461] INFO: Отфильтрован DAMUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,461] INFO: Отфильтрован DASHUSDT: объем 6589101.8715 < 10000000.0
[2025-10-23 18:08:36,462] INFO: Отфильтрован DBRUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,462] INFO: Отфильтрован DEEPUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,462] INFO: Отфильтрован DEGENUSDT: объем 675268.8725 < 10000000.0
[2025-10-23 18:08:36,462] INFO: Отфильтрован DENTUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,462] INFO: Отфильтрован DEXEUSDT: объем 703084.4572 < 10000000.0
[2025-10-23 18:08:36,462] INFO: Отфильтрован DGBUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,464] INFO: Отфильтрован DIAUSDT: объем 472754.8909 < 10000000.0
[2025-10-23 18:08:36,464] INFO: Отфильтрован DODOUSDT: объем 0.0 < 10000000.0
